images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images\8ball.jpg,nail clipper,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,144,144,206,403.825888678,8.98027792573E-06,404.942834949,1.11695589265,,,,,x,1,1.10051255336,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\carrot02.jpg,corkscrew,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,145,145,161,406.046760676,9.30111855268E-06,407.260125103,1.21337404859,,,,,x,1,1.20054562041,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\bowl02b (1).jpg,bowl,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,146,146,24,408.379268672,8.98027792573E-06,410.227592827,1.84833345574,,,,,x,0,1.83404732449,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\comb02a.jpg,diploma,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,147,147,166,411.331848582,9.30111855268E-06,412.11143394,0.779594979831,,,,,x,1,0.767089844216,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\parkfountain.jpg,park fountain,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,148,148,93,413.231569518,8.6595537141E-06,414.428715114,1.1971542557,,,,,z,1,1.18386879191,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\printer03a.jpg,printer,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,149,149,72,415.537854575,9.30111855268E-06,416.495936232,0.958091598935,,,,,z,1,0.933797189733,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lollipop03b.jpg,lollipop,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,150,150,42,417.590255231,9.30111855268E-06,418.396452249,0.806206960464,,,,,z,1,0.783765710425,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\masquerademask02b.jpg,mirror,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,151,151,204,419.580474669,9.30100213736E-06,420.413656031,0.833190663368,,,,,x,1,0.817081842106,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\hairpin.jpg,hair pin,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,152,152,28,421.505672854,9.30111855268E-06,422.230808433,0.725145201082,,,,,z,1,0.717070905375,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cat.jpg,black olive,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,153,153,133,423.362096642,9.62184276432E-06,424.664792126,1.30270542635,,,,,x,1,1.28388453973,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\showerhead01.jpg,skateboard,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,154,154,223,425.77446239,9.62184276432E-06,426.798725368,1.02427292045,,,,,x,1,1.00049872999,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\pepper05a.jpg,lighter,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,155,155,198,427.921342408,9.30100213736E-06,429.015986624,1.09465383796,,,,,x,1,1.08385785518,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\flashlight05.jpg,flash light,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,156,156,8,430.118643557,8.98039434105E-06,430.916480191,0.797846255824,,,,,z,1,0.78376154101,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\basketball01.jpg,basket ball,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,157,157,33,432.054994373,9.30111855268E-06,432.850174427,0.795189996948,,,,,z,1,0.783600856899,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\cake.jpg,cake,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,158,158,23,433.964153334,9.94256697595E-06,435.100939761,1.13679636957,,,,,z,1,1.1171848916,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\icecube02 (2).jpg,aloe,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,159,159,122,436.213201818,9.62184276432E-06,437.068150263,0.854958387325,,,,,x,1,0.833789460245,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\handfan01b.jpg,handfan,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,160,160,69,438.183027526,8.98039434105E-06,439.468786713,1.28576945071,,,,,z,1,1.26723016216,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lettuce.jpg,mushroom,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,161,161,205,440.645182251,8.33882950246E-06,441.769403888,1.12423125806,,,,,x,1,1.10052506172,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\shotglass.jpg,shot glass,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,162,162,86,442.87940867,9.30100213736E-06,443.969996013,1.09059728612,,,,,z,1,1.06717557448,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\ant.jpg,ant,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,163,163,98,445.064652738,5.22785121575E-05,446.070543847,1.00592991675,,,,,z,1,0.983804261661,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\dolphin01.jpg,dolphin,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,164,164,99,447.170685961,9.621726349E-06,447.737671825,0.566995807108,,,,,z,1,0.550370936515,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
